cases,week,population,regiao
0,1,A,Campinas
0,2,A,Campinas
0,3,A,Campinas
0,4,A,Campinas
0,5,A,Campinas
0,6,A,Campinas
0,7,A,Campinas
0,8,A,Campinas
0,9,A,Campinas
0,10,A,Campinas
0,11,A,Campinas
0,12,A,Campinas
0,13,A,Campinas
0,14,A,Campinas
0,15,A,Campinas
0,16,A,Campinas
0,17,A,Campinas
0,18,A,Campinas
0,19,A,Campinas
0,20,A,Campinas
0,21,A,Campinas
0,22,A,Campinas
0,23,A,Campinas
0,24,A,Campinas
0,25,A,Campinas
0,26,A,Campinas
1,27,A,Campinas
2,28,A,Campinas
3,29,A,Campinas
8,30,A,Campinas
10,31,A,Campinas
10,32,A,Campinas
17,33,A,Campinas
4,34,A,Campinas
21,35,A,Campinas
11,36,A,Campinas
3,37,A,Campinas
6,38,A,Campinas
5,39,A,Campinas
1,40,A,Campinas
2,41,A,Campinas
2,42,A,Campinas
3,43,A,Campinas
6,44,A,Campinas
1,45,A,Campinas
4,46,A,Campinas
0,47,A,Campinas
4,48,A,Campinas
1,49,A,Campinas
2,50,A,Campinas
0,51,A,Campinas
2,52,A,Campinas
0,53,A,Campinas
5,54,A,Campinas
4,55,A,Campinas
5,56,A,Campinas
9,57,A,Campinas
7,58,A,Campinas
5,59,A,Campinas
4,60,A,Campinas
5,61,A,Campinas
6,62,A,Campinas
4,63,A,Campinas
0,64,A,Campinas
0,65,A,Campinas
0,66,A,Campinas
0,67,A,Campinas
0,68,A,Campinas
0,69,A,Campinas
0,70,A,Campinas
0,71,A,Campinas
0,72,A,Campinas
0,73,A,Campinas
0,74,A,Campinas
0,75,A,Campinas
0,76,A,Campinas
1,77,A,Campinas
0,78,A,Campinas
0,79,A,Campinas
1,80,A,Campinas
0,81,A,Campinas
1,82,A,Campinas
1,83,A,Campinas
1,84,A,Campinas
1,85,A,Campinas
0,86,A,Campinas
0,87,A,Campinas
0,88,A,Campinas
0,89,A,Campinas
0,90,A,Campinas
0,91,A,Campinas
0,92,A,Campinas
0,93,A,Campinas
0,94,A,Campinas
0,95,A,Campinas
0,96,A,Campinas
0,97,A,Campinas
0,98,A,Campinas
0,99,A,Campinas
0,100,A,Campinas
0,101,A,Campinas
0,102,A,Campinas
0,103,A,Campinas
0,104,A,Campinas
0,105,A,Campinas
0,106,A,Campinas
0,107,A,Campinas
0,108,A,Campinas
0,109,A,Campinas
0,110,A,Campinas
0,111,A,Campinas
0,112,A,Campinas
0,113,A,Campinas
0,114,A,Campinas
0,115,A,Campinas
0,116,A,Campinas
1,117,A,Campinas
0,118,A,Campinas
0,119,A,Campinas
0,120,A,Campinas
0,121,A,Campinas
0,122,A,Campinas
0,123,A,Campinas
0,124,A,Campinas
0,125,A,Campinas
0,126,A,Campinas
0,127,A,Campinas
0,128,A,Campinas
0,129,A,Campinas
0,130,A,Campinas
0,131,A,Campinas
0,132,A,Campinas
0,133,A,Campinas
0,134,A,Campinas
0,135,A,Campinas
0,136,A,Campinas
1,137,A,Campinas
0,138,A,Campinas
0,139,A,Campinas
0,140,A,Campinas
0,141,A,Campinas
0,142,A,Campinas
0,143,A,Campinas
0,144,A,Campinas
0,145,A,Campinas
0,146,A,Campinas
0,147,A,Campinas
0,148,A,Campinas
0,149,A,Campinas
0,150,A,Campinas
0,151,A,Campinas
0,152,A,Campinas
0,153,A,Campinas
0,154,A,Campinas
1,155,A,Campinas
0,156,A,Campinas
0,157,A,Campinas
0,158,A,Campinas
0,159,A,Campinas
0,160,A,Campinas
1,161,A,Campinas
0,162,A,Campinas
0,163,A,Campinas
0,164,A,Campinas
0,165,A,Campinas
0,166,A,Campinas
0,167,A,Campinas
0,168,A,Campinas
0,169,A,Campinas
0,170,A,Campinas
0,171,A,Campinas
0,172,A,Campinas
0,173,A,Campinas
0,174,A,Campinas
0,175,A,Campinas
0,176,A,Campinas
0,177,A,Campinas
0,178,A,Campinas
0,179,A,Campinas
0,180,A,Campinas
0,181,A,Campinas
